ReviewID;CustomerID;ProductID;Rating;ReviewDate;ReviewText;SentimentScore;SentimentCategory;SentimentBucket
1;77;18;3;23/12/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
2;80;19;5;25/12/2024;The quality is top-notch.;0.0;Positive;0.0 to 0.49
3;50;13;4;26/01/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
4;78;15;3;21/04/2025;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
5;64;2;3;16/07/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
6;81;1;4;21/12/2025;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
7;16;1;3;29/01/2024;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
8;55;8;5;15/08/2024;The quality is top-notch.;0.0;Positive;0.0 to 0.49
9;3;13;4;01/09/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
10;78;6;5;17/06/2024;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
11;54;9;4;17/07/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
12;77;2;2;13/01/2025;Product did not meet my expectations.;0.0;Negative;0.0 to 0.49
13;93;6;5;20/08/2024;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
14;23;2;4;16/06/2025;Good quality, but could be cheaper.;0.2382;Positive;0.0 to 0.49
15;29;11;5;27/01/2023;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
16;95;17;5;06/01/2023;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
17;88;4;3;29/10/2025;Not worth the money.;-0.1695;Mixed Negative;-0.49 to 0.0
18;17;16;4;23/11/2024;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
19;34;13;4;04/01/2024;The quality is top-notch.;0.0;Positive;0.0 to 0.49
20;34;6;1;29/04/2023;I had a bad experience with this product.;-0.5423;Negative;-1.0 to -0.5
21;22;15;5;08/04/2023;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
22;52;3;4;30/10/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
23;69;18;5;02/07/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
24;100;4;3;18/07/2025;I love this product, will buy again!;0.6696;Mixed Positive;0.5 to 1.0
25;55;20;4;19/12/2024;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
26;76;11;4;21/08/2024;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
27;56;6;4;24/11/2025;The quality is top-notch.;0.0;Positive;0.0 to 0.49
28;76;8;5;27/05/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
29;38;13;4;31/05/2023;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
30;84;6;4;18/03/2024;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
31;93;4;3;25/08/2025;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
32;91;1;4;15/07/2023;The quality is top-notch.;0.0;Positive;0.0 to 0.49
33;30;2;4;21/02/2023;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 0.49
34;81;15;5;30/03/2024;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
35;27;12;3;13/03/2024;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
36;96;9;3;05/12/2025;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.0 to 0.49
37;38;3;3;11/09/2023;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
38;45;17;5;07/05/2024;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
39;54;1;5;02/10/2023;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
40;33;2;5;03/01/2025;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
41;93;17;3;15/05/2025;Average experience, nothing special.;-0.3089;Mixed Negative;-0.49 to 0.0
42;72;15;5;21/03/2023;Five stars for the quick delivery.;0.0;Positive;0.0 to 0.49
43;84;15;4;02/02/2025;Exceeded my expectations!;0.0;Positive;0.0 to 0.49
